site_code,site_name,start_url,page_url
kotra,대한무역투자진흥공사,https://www.kotra.or.kr/subList/20000005958?tabid=1092,JavaScript pagination
ripc,지역지식재산센터,https://pms.ripc.org/www/portal/notice/boardList.do?boardCategoryCode=BD40000,https://pms.ripc.org/www/portal/notice/boardList.do?boardCategoryCode=BD40000&page={next_page}
btp,부산테크노파크,https://www.btp.or.kr/kor/CMS/Board/Board.do?mCode=MN013,https://www.btp.or.kr/kor/CMS/Board/Board.do?robot=Y&mCode=MN013&page={next_page}
itp,인천테크노파크,https://itp.or.kr/intro.asp?tmid=13,JavaScript pagination
ttp,한국테크노파크진흥회,http://www.technopark.kr/businessboard,http://www.technopark.kr/index.php?mid=businessboard&page={next_page}
gbtp,경북테크노파크 - 사업공고,https://www.gbtp.or.kr/user/board.do?bbsId=BBSMSTR_000000000021,https://www.gbtp.or.kr/user/board.do?bbsId=BBSMSTR_000000000021&pageIndex={next_page}
gtp,(재)경기테크노파크,https://pms.gtp.or.kr/web/business/webBusinessList.do,JavaScript pagination
seoultp,(재)서울테크노파크,https://www.seoultp.or.kr/user/nd19746.do,JavaScript pagination
sjtp,(재)세종테크노파크,https://sjtp.or.kr/bbs/board.php?bo_table=business01,https://sjtp.or.kr/bbs/board.php?bo_table=business01&page={next_page}
kita,한국무역협회,https://www.kita.net/asocBiz/asocBiz/asocBizOngoingList.do,JavaScript pagination
busanit,부산정보산업진흥원,http://www.busanit.or.kr/board/list.asp?bcode=notice,http://www.busanit.or.kr/board/list.asp?bcode=notice&sword=&search_txt=&ipage={next_page}
jbba,전북특별자치도경제통상진흥원,https://www.jbba.kr/bbs/board.php?bo_table=sub01_09,https://www.jbba.kr/bbs/board.php?bo_table=sub01_09&page={next_page}
snipBottom,성남산업진흥원,https://www.snip.or.kr/SNIP/contents/Business1.do,JavaScript pagination
jbtp,전북테크노파크,https://www.jbtp.or.kr/board/list.jbtp?boardId=BBS_0000006&menuCd=DOM_000000102001000000&contentsSid=9&cpath=,https://www.jbtp.or.kr/board/list.jbtp?boardId=BBS_0000006&menuCd=DOM_000000102001000000&paging=ok&gubun=&searchType=&keyword=&pageNo={next_page}
dip,대구디지털혁신진흥원,https://www.dip.or.kr/home/notice/businessbbs/boardList.ubs?fboardcd=business,JavaScript pagination
gwbaInfo,강원특별자치도경제진흥원,https://www.gwep.or.kr/bbs/board.php?bo_table=gw_sub21,https://www.gwep.or.kr/bbs/board.php?bo_table=gw_sub21&page={next_page}
djbaInfo,대전일자리경제진흥원,https://www.djbea.or.kr/pms/an/an_0101/list?,https://www.djbea.or.kr/pms/an/an_0101/list?cPage={next_page}&BIZ_PBNC_NM=&PBNC_BEGDTM=&PBNC_ENDDTM=&RCIP_BEGDTM=&RCIP_ENDDTM=&IDX=0
gitp,광주테크노파크,https://www.gjtp.or.kr/home/business.cs,JavaScript pagination
kocca,한국콘텐츠진흥원,https://www.kocca.kr/kocca/pims/list.do?menuNo=204104,JavaScript pagination
ctp,충남테크노파크,https://ctp.or.kr/business/data.do,JavaScript pagination
debc,장애인기업종합지원센터,https://www.debc.or.kr/bbs/board.php?bo_table=s2_2,https://www.debc.or.kr/bbs/board.php?bo_table=s2_2&page={next_page}
nipa,정보통신산업진흥원,https://www.nipa.kr/,JavaScript pagination
bizbc,부천산업진흥원,https://bizbc.or.kr/kor/contents/BC0101010000.do,JavaScript pagination
dipa,용인시산업진흥원,http://dipa.or.kr/information/businessnotice/,JavaScript pagination
pms,한국방송통신전파진흥원 사업관리시스템,https://pms.kca.kr:4433/board/boardList.do?sysType=KCA&bbsTc=BBS0001,JavaScript pagination
gitct,광주정보문화산업진흥원,https://www.gicon.or.kr/board.es?mid=a10204000000&bid=0003,JavaScript pagination
cba,충청북도기업진흥원,https://www.cba.ne.kr/home/sub.php?menukey=172,JavaScript pagination
kiat,KIAT 한국산업기술진흥원,https://www.kiat.or.kr/front/board/boardContentsListPage.do?board_id=90&MenuId=b159c9dac684471b87256f1e25404f5e,JavaScript pagination
ptp,포항테크노파크,https://www.ptp.or.kr/main/board/index.do?menu_idx=113&manage_idx=2,JavaScript pagination
jcia,전남정보문화산업진흥원,https://jcia.or.kr/cf/information/notice/business.do,JavaScript pagination
daejeontp,대전테크노파크,https://www.djtp.or.kr/pbanc?mid=a20101000000,JavaScript pagination
cceiSeoul,서울창조경제혁신센터,https://ccei.creativekorea.or.kr/seoul/allim/allim,JavaScript pagination
fact,한국농업기술진흥원,https://www.koat.or.kr/board/business/list.do,JavaScript pagination
keiti,한국환경산업기술원,https://www.keiti.re.kr/site/keiti/ex/board/List.do?cbIdx=277&searchExt1=24000100,JavaScript pagination
kosmes,중소벤처기업진흥공단,https://www.kosmes.or.kr/nsh/SH/NTS/SHNTS001M0.do,JavaScript pagination
cceiJeonbuk,전북창조경제혁신센터,https://ccei.creativekorea.or.kr/jeonbuk/custom/notice_list.do?&page=1,https://ccei.creativekorea.or.kr/jeonbuk/custom/notice_list.do?&page={next_page}
cceiGangwon,강원창조경제혁신센터,https://ccei.creativekorea.or.kr/gangwon/custom/notice_list.do?,https://ccei.creativekorea.or.kr/gangwon/custom/notice_list.do?&page={next_page}
gimc,강원정보문화산업진흥원,https://www.gica.or.kr/Home/H40000/H40100/boardList,JavaScript pagination
jejutp,제주테크노파크,https://www.jejutp.or.kr/board/business,JavaScript pagination
cbtp,충북테크노파크,https://www.cbtp.or.kr/index.php?control=bbs&board_id=saup_notice&lm_uid=387,JavaScript pagination
cceiBusan,부산창조경제혁신센터,https://ccei.creativekorea.or.kr/busan/custom/notice_list.do?,https://ccei.creativekorea.or.kr/busan/custom/notice_list.do?&page={next_page}
gdtp,경기대진테크노파크,https://www.gdtp.or.kr/board/notice,JavaScript pagination
innopolis,연구개발특구진흥재단,https://www.innopolis.or.kr/newBusiness?menuId=MENU01028,JavaScript pagination
geri,구미전자정보기술원,https://geri.re.kr/html/board_list.asp?board_id=business,JavaScript pagination
cceiJeonnam,전남창조경제혁신센터,https://ccei.creativekorea.or.kr/jeonnam/custom/notice_list.do?,https://ccei.creativekorea.or.kr/jeonnam/custom/notice_list.do?&page={next_page}
kisa,한국인터넷진흥원,https://www.kisa.or.kr/401,JavaScript pagination
semas,소상공인시장진흥공단 - 지원사업,https://www.semas.or.kr/web/board/webBoardList.kmdc?bCd=2001&pNm=BOA0121,JavaScript pagination
gcon,경기콘텐츠진흥원,https://www.gcon.or.kr/gcon/business/gconNotice/list.do?menuNo=200061,JavaScript pagination
